Table;Variable;Enquête complète_LifePAP;Enquête complète_QLittorea complet;Enquête complète_QLittorea intermédiaire;Enquête complète_QLittorea simplifié;Enquête sensibilisation_LifePAP;Enquête sensibilisation_QLittorea complet;Enquête sensibilisation_QLittorea intermédiaire;Enquête sensibilisation_QLittorea simplifié
connPeche;Code Enquète;100,0000000;  0,0000000;  0,0000000;  0,0000000;100,00000000;  0,0000000;NA;NA
connPeche;Connaissance Période;100,0000000;  0,5235602;  1,6194332;  0,0000000;100,00000000; 99,8542274;NA;NA
connPeche;Connaissance quota; 17,7322271;  0,5235602;  0,0000000;  0,5025126;100,00000000; 99,8542274;NA;NA
connPeche;connaissance réglementation; 15,0317228;  4,1884817; 23,8866397;  2,0100503;100,00000000; 99,8542274;NA;NA
connPeche;Connaissance Règlementation Période;100,0000000;  2,0942408;  0,8097166;  0,5025126;100,00000000; 99,8542274;NA;NA
connPeche;Conseils consommation;  0,0000000;  3,6649215; 82,1862348; 19,5979899;100,00000000; 99,8542274;NA;NA
connPeche;declaration Connaissance;  0,0000000;  0,5235602;  0,2024291;  0,5025126;100,00000000; 99,8542274;NA;NA
connPeche;Espéce maille; 47,9095494;  2,6178010;  0,4048583;  4,0201005;100,00000000; 99,8542274;NA;NA
connPeche;Espèce période;100,0000000; 10,9947644; 12,7530364;  6,0301508;100,00000000; 99,8542274;NA;NA
connPeche;Espèce quantité; 61,4934114;  4,1884817;  1,4170040;  5,0251256;100,00000000; 99,8542274;NA;NA
connPeche;ID Fiche;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
connPeche;Informé Législation;  0,0000000; 15,7068063; 64,5748988;  2,5125628;100,00000000; 99,8542274;NA;NA
connPeche;Libellé Sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
connPeche;libelle_sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
connPeche;Membre Association;  0,0000000;  3,1413613; 82,5910931; 78,3919598;100,00000000; 99,8542274;NA;NA
connPeche;Nom Association; 97,9664877; 95,2879581;100,0000000; 98,4924623;100,00000000;100,0000000;NA;NA
connPeche;Outil Conforme;100,0000000; 34,0314136; 66,5991903; 48,7437186; 66,24979156; 54,8104956;NA;NA
connPeche;Périodes Déclarées;100,0000000; 87,9581152; 90,8906883; 73,8693467;100,00000000;100,0000000;NA;NA
connPeche;Quantité déclarée; 76,3136489; 64,3979058; 51,2145749; 47,7386935;100,00000000; 99,8542274;NA;NA
connPeche;Reglementation Quantité; 28,5179762;  4,1884817;  1,8218623;  3,0150754;100,00000000; 99,8542274;NA;NA
connPeche;Source information législation; 44,0214739;  5,2356021;  1,4170040; 16,5829146;100,00000000; 99,8542274;NA;NA
connPeche;Source outil; 14,9178461; 57,5916230; 65,9919028;  7,5376884; 84,15874604; 14,8688047;NA;NA
connPeche;Taille déclarée; 56,7268586; 35,0785340; 35,2226721; 35,6783920;100,00000000; 99,8542274;NA;NA
connPeche;Type d'outil; 35,0577517; 62,8272251; 65,5870445;  7,0351759;100,00000000; 15,1603499;NA;NA
connPeche;Unite;100,0000000; 63,8743455; 52,6315789; 47,2361809;100,00000000; 99,8542274;NA;NA
connPeche;Utilisation outil; 20,7906296;  0,5235602;  2,4291498;  0,0000000;  8,53760213;  0,2915452;NA;NA
detailPeche;Accueil; 26,9090435;  1,8726592; 23,6889693;  0,0000000; 97,99899950;  0,7309942;NA;NA
detailPeche;Annee Naissance - Autre membre; 54,8214751; 37,8277154; 62,0253165; 43,2432432;100,00000000; 99,8538012;NA;NA
detailPeche;Annee Naissance - Pécheur; 13,7216575;  1,4981273;  4,7016275;  2,3166023;100,00000000; 99,8538012;NA;NA
detailPeche;Code Enquète;100,0000000;  0,0000000;  0,0000000;  0,0000000;100,00000000;  0,0000000;NA;NA
detailPeche;Commune résidence; 22,2048475;  9,7378277;  0,5424955;  6,1776062;100,00000000; 97,2222222;NA;NA
detailPeche;Commune séjour; 60,7896794; 62,1722846; 72,5135624; 82,6254826;100,00000000; 99,7076023;NA;NA
detailPeche;CSP - Autre membre; 75,4104769; 49,0636704; 66,3652803; 98,4555985;100,00000000; 99,8538012;NA;NA
detailPeche;CSP - Pécheur;  0,0000000;  0,3745318;  0,0000000;  0,0000000;100,00000000; 99,8538012;NA;NA
detailPeche;De passage;  0,0000000; 11,2359551;  4,7016275; 68,3397683;  0,00000000; 91,8128655;NA;NA
detailPeche;Département;100,0000000; 93,6329588;100,0000000; 98,4555985;100,00000000; 98,2456140;NA;NA
detailPeche;Durée séjour; 62,6140214; 70,0374532; 82,8209765; 82,6254826;100,00000000;100,0000000;NA;NA
detailPeche;Fréquence Visites; 80,8704717; 74,5318352; 99,4575045; 99,2277992;100,00000000;100,0000000;NA;NA
detailPeche;Hebergement; 70,2892885; 61,7977528; 91,3200723; 96,5250965;100,00000000;100,0000000;NA;NA
detailPeche;ID Fiche;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
detailPeche;Influence Date; 67,0706281; 63,2958801; 99,4575045; 99,6138996;100,00000000;100,0000000;NA;NA
detailPeche;Influence Destination; 61,3630440; 62,9213483; 99,4575045; 99,6138996;100,00000000;100,0000000;NA;NA
detailPeche;Libellé Sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
detailPeche;libelle_sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
detailPeche;Pays;100,0000000; 98,8764045; 99,8191682; 99,6138996;100,00000000; 99,2690058;NA;NA
detailPeche;Précisions remarques;100,0000000; 62,1722846; 96,3833635; 86,1003861; 76,27146907; 86,1111111;NA;NA
detailPeche;Premier Séjour;  0,0000000; 41,1985019; 94,9367089; 97,2972973;100,00000000;100,0000000;NA;NA
detailPeche;Remarques pécheur;100,0000000;100,0000000;100,0000000;100,0000000; 49,62481241; 44,1520468;NA;NA
detailPeche;Sensibilisation; 28,8376336;  0,7490637; 24,0506329;  0,3861004;100,00000000; 99,8538012;NA;NA
detailPeche;Sexe - Autre membre; 46,0255408; 33,3333333; 58,5895118; 41,3127413;100,00000000; 99,8538012;NA;NA
detailPeche;Sexe - Pécheur;  9,9035705;  0,3745318;  0,0000000;  0,0000000;100,00000000; 99,8538012;NA;NA
detailPeche;Tri récolte; 37,9593432;  1,4981273; 23,8698011;  2,3166023;100,00000000; 99,8538012;NA;NA
ficheTerrain;auteur saisie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;code site;  0,3090939;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;coefficient marée;  0,0000000;  0,0000000;  7,2289157;  0,0000000;  0,03335001;  0,1449275;NA;NA
ficheTerrain;commentaires;  0,0000000; 74,4791667; 91,1646586; 64,5000000;  0,00000000;100,0000000;NA;NA
ficheTerrain;couverture nuageuse; 72,4255735;  0,5208333; 21,4859438;  0,0000000; 59,97998999;  0,0000000;NA;NA
ficheTerrain;date sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;direction du vent; 74,3126728; 35,4166667; 76,1044177; 99,0000000; 39,91995998; 89,2753623;NA;NA
ficheTerrain;équipe terrain;  0,3578982; 13,0208333; 51,2048193; 16,5000000;  2,70135068; 10,8695652;NA;NA
ficheTerrain;état de la mer; 87,5874410; 50,0000000; 76,3052209;100,0000000; 71,80256795; 79,2753623;NA;NA
ficheTerrain;force du vent; 52,5134212; 17,1875000; 66,2650602; 18,0000000; 39,51975988;  4,9275362;NA;NA
ficheTerrain;force du vent en rafale;100,0000000; 32,2916667; 98,7951807; 99,5000000;100,00000000; 76,2318841;NA;NA
ficheTerrain;hauteur basse mer;100,0000000; 93,7500000;100,0000000; 99,5000000;100,00000000; 88,6956522;NA;NA
ficheTerrain;heure début; 21,6691069; 21,3541667; 94,1767068; 82,0000000;100,00000000; 73,7681159;NA;NA
ficheTerrain;heure fin;100,0000000; 27,0833333; 96,7871486; 81,5000000;100,00000000; 76,2318841;NA;NA
ficheTerrain;heure marée basse;  9,5656418;  8,3333333; 60,6425703;  0,5000000;  1,20060030;  0,1449275;NA;NA
ficheTerrain;ID Fiche;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
ficheTerrain;libellé campagne;100,0000000;  0,0000000;  0,0000000;  0,0000000;100,00000000;  0,0000000;NA;NA
ficheTerrain;libellé sortie;  0,0000000;  0,0000000;  0,0000000;  0,0000000;  0,00000000;  0,0000000;NA;NA
